Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
BT1,125.182487mm,25.510000mm,Bottom,90.0,125.182487mm,25.510000mm
C1,37.307487mm,18.970000mm,Bottom,-90.0,37.307487mm,18.970000mm
C2,39.307487mm,18.970000mm,Bottom,-90.0,39.307487mm,18.970000mm
C3,41.307487mm,18.970000mm,Bottom,-90.0,41.307487mm,18.970000mm
C4,43.307487mm,18.970000mm,Bottom,-90.0,43.307487mm,18.970000mm
C5,45.307487mm,18.970000mm,Bottom,-90.0,45.307487mm,18.970000mm
C6,37.307487mm,14.970000mm,Bottom,90.0,37.307487mm,14.970000mm
C7,39.307487mm,14.970000mm,Bottom,90.0,39.307487mm,14.970000mm
C8,41.307487mm,14.970000mm,Bottom,90.0,41.307487mm,14.970000mm
C9,43.307487mm,14.970000mm,Bottom,90.0,43.307487mm,14.970000mm
C10,45.307487mm,14.970000mm,Bottom,90.0,45.307487mm,14.970000mm
C14,43.782487mm,9.510000mm,Bottom,-90.0,43.782487mm,9.510000mm
C15,45.782487mm,9.510000mm,Bottom,-90.0,45.782487mm,9.510000mm
C16,47.782487mm,9.510000mm,Bottom,-90.0,47.782487mm,9.510000mm
C17,49.782487mm,9.510000mm,Bottom,-90.0,49.782487mm,9.510000mm
C18,51.782487mm,9.510000mm,Bottom,-90.0,51.782487mm,9.510000mm
C19,43.782487mm,5.510000mm,Bottom,90.0,43.782487mm,5.510000mm
C20,45.782487mm,5.510000mm,Bottom,90.0,45.782487mm,5.510000mm
C21,47.782487mm,5.510000mm,Bottom,90.0,47.782487mm,5.510000mm
C22,49.782487mm,5.510000mm,Bottom,90.0,49.782487mm,5.510000mm
C23,51.782487mm,5.510000mm,Bottom,90.0,51.782487mm,5.510000mm
C27,94.982487mm,65.110000mm,Bottom,-90.0,94.982487mm,65.110000mm
C28,86.982487mm,82.610000mm,Bottom,0.0,86.982487mm,82.610000mm
C29,88.682487mm,77.092023mm,Bottom,0.0,88.682487mm,77.092023mm
C30,90.372488mm,82.610000mm,Bottom,180.0,90.372488mm,82.610000mm
C31,92.782487mm,73.510000mm,Bottom,90.0,92.782487mm,73.510000mm
C32,94.582487mm,73.510000mm,Bottom,90.0,94.582487mm,73.510000mm
C33,130.182487mm,34.010000mm,Bottom,-90.0,130.182487mm,34.010000mm
D1,121.182487mm,16.010000mm,Bottom,0.0,121.182487mm,16.010000mm
D2,52.182487mm,70.510000mm,Bottom,90.0,52.182487mm,70.510000mm
D4,52.182487mm,78.010000mm,Bottom,90.0,52.182487mm,78.010000mm
D8,88.682487mm,79.592023mm,Bottom,90.0,88.682487mm,79.592023mm
